,Date,Open,High,Low,Close,Adj Close,Volume,Day of Week,%_CloseChange
143,2023-03-24,17076.19921875,17109.44921875,16917.349609375,16945.05078125,16945.05078125,228000,Friday,-0.7720933328590696
144,2023-03-27,16984.30078125,17091.0,16918.55078125,16985.69921875,16985.69921875,218400,Monday,0.23988383407489433
145,2023-03-28,17031.75,17061.75,16913.75,16951.69921875,16951.69921875,238800,Tuesday,-0.20016838613549082
146,2023-03-29,16977.30078125,17126.150390625,16940.599609375,17080.69921875,17080.69921875,345900,Wednesday,0.7609856589321451
147,2023-03-31,17210.349609375,17381.599609375,17204.650390625,17359.75,17359.75,263900,Friday,1.6337198944623932
148,2023-04-03,17427.94921875,17428.05078125,17312.75,17398.05078125,17398.05078125,230200,Monday,0.2206297973761151
149,2023-04-05,17422.30078125,17570.55078125,17402.69921875,17557.05078125,17557.05078125,248300,Wednesday,0.9138954817361267
150,2023-04-06,17533.849609375,17638.69921875,17502.849609375,17599.150390625,17599.150390625,242700,Thursday,0.23978747854371818
151,2023-04-10,17634.900390625,17694.099609375,17597.94921875,17624.05078125,17624.05078125,254800,Monday,0.14148632219350699
152,2023-04-11,17704.80078125,17748.75,17655.150390625,17722.30078125,17722.30078125,304300,Tuesday,0.5574768321964241
153,2023-04-12,17759.55078125,17825.75,17717.25,17812.400390625,17812.400390625,232800,Wednesday,0.5083967961446945
154,2023-04-13,17807.30078125,17842.150390625,17729.650390625,17828.0,17828.0,285800,Thursday,0.08757724412713497
155,2023-04-17,17863.0,17863.0,17574.05078125,17706.849609375,17706.849609375,357400,Monday,-0.6795512150830185
156,2023-04-18,17766.599609375,17766.599609375,17610.19921875,17660.150390625,17660.150390625,258900,Tuesday,-0.26373533282438855
157,2023-04-19,17653.349609375,17666.150390625,17579.849609375,17618.75,17618.75,281500,Wednesday,-0.2344283016240789
158,2023-04-20,17638.599609375,17684.44921875,17584.349609375,17624.44921875,17624.44921875,215100,Thursday,0.03234746363958152
159,2023-04-21,17639.75,17663.19921875,17553.94921875,17624.05078125,17624.05078125,230200,Friday,-0.002260708945023282
160,2023-04-24,17707.55078125,17754.5,17612.5,17743.400390625,17743.400390625,255700,Monday,0.6771973756565242
161,2023-04-25,17761.55078125,17807.44921875,17716.849609375,17769.25,17769.25,297400,Tuesday,0.14568576938982503
162,2023-04-26,17767.30078125,17827.75,17711.19921875,17813.599609375,17813.599609375,233000,Wednesday,0.24958627615121465
163,2023-04-27,17813.099609375,17931.599609375,17797.900390625,17915.05078125,17915.05078125,241400,Thursday,0.5695152810193838
164,2023-04-28,17950.400390625,18089.150390625,17885.30078125,18065.0,18065.0,290300,Friday,0.8370013603697934
165,2023-05-02,18124.80078125,18180.25,18101.75,18147.650390625,18147.650390625,265200,Tuesday,0.4575166931912511
166,2023-05-03,18113.80078125,18116.349609375,18042.400390625,18089.849609375,18089.849609375,226200,Wednesday,-0.318502836487633
167,2023-05-04,18081.0,18267.44921875,18066.69921875,18255.80078125,18255.80078125,226600,Thursday,0.9173717607303677
168,2023-05-05,18117.30078125,18216.94921875,18055.44921875,18069.0,18069.0,239700,Friday,-1.0232406865540389
169,2023-05-08,18120.599609375,18286.94921875,18100.30078125,18264.400390625,18264.400390625,228400,Monday,1.0814123118324304
